REPORT_DATE,Country,TotalPositiveCases,TotalDeaths
2/3/2020,Chile,0,0
2/4/2020,Chile,0,0
2/5/2020,Chile,0,0
2/6/2020,Chile,0,0
2/7/2020,Chile,0,0
2/8/2020,Chile,0,0
2/9/2020,Chile,0,0
2/10/2020,Chile,0,0
2/11/2020,Chile,0,0
2/12/2020,Chile,0,0
2/13/2020,Chile,0,0
2/14/2020,Chile,0,0
2/15/2020,Chile,0,0
2/16/2020,Chile,0,0
2/17/2020,Chile,0,0
2/18/2020,Chile,0,0
2/19/2020,Chile,0,0
2/20/2020,Chile,0,0
2/21/2020,Chile,0,0
2/22/2020,Chile,0,0
2/23/2020,Chile,0,0
2/24/2020,Chile,0,0
2/25/2020,Chile,0,0
2/26/2020,Chile,0,0
2/27/2020,Chile,0,0
2/28/2020,Chile,0,0
2/29/2020,Chile,0,0
3/1/2020,Chile,0,0
3/2/2020,Chile,0,0
3/3/2020,Chile,0,0
3/4/2020,Chile,1,0
3/5/2020,Chile,2,0
3/6/2020,Chile,1,0
3/7/2020,Chile,1,0
3/8/2020,Chile,0,0
3/9/2020,Chile,5,0
3/10/2020,Chile,3,0
3/11/2020,Chile,4,0
3/12/2020,Chile,6,0
3/13/2020,Chile,10,0
3/14/2020,Chile,10,0
3/15/2020,Chile,18,0
3/16/2020,Chile,14,0
3/17/2020,Chile,81,0
3/18/2020,Chile,45,0
3/19/2020,Chile,37,0
3/20/2020,Chile,104,0
3/21/2020,Chile,92,0
3/22/2020,Chile,103,0
3/23/2020,Chile,95,1
3/24/2020,Chile,114,1
3/25/2020,Chile,176,0
3/26/2020,Chile,220,1
3/27/2020,Chile,164,1
3/28/2020,Chile,304,1
3/29/2020,Chile,299,1
3/30/2020,Chile,230,1
3/31/2020,Chile,310,1
4/1/2020,Chile,289,4
4/2/2020,Chile,293,4
4/3/2020,Chile,373,2
4/4/2020,Chile,333,4
4/5/2020,Chile,424,5
4/6/2020,Chile,310,7
4/7/2020,Chile,344,3
4/8/2020,Chile,301,6
4/9/2020,Chile,430,5
4/10/2020,Chile,426,9
4/11/2020,Chile,529,8
4/12/2020,Chile,426,8
4/13/2020,Chile,286,7
4/14/2020,Chile,312,2
4/15/2020,Chile,392,10
4/16/2020,Chile,356,2
4/17/2020,Chile,534,11
4/18/2020,Chile,445,11
4/19/2020,Chile,478,10
4/20/2020,Chile,358,7
4/21/2020,Chile,419,6
4/22/2020,Chile,325,8
4/23/2020,Chile,464,13
4/24/2020,Chile,516,8
4/25/2020,Chile,494,6
4/26/2020,Chile,552,7
4/27/2020,Chile,473,8
4/28/2020,Chile,482,9
4/29/2020,Chile,552,9
4/30/2020,Chile,520,9
5/1/2020,Chile,1138,11
5/2/2020,Chile,985,7
5/3/2020,Chile,1427,13
5/4/2020,Chile,1228,13
5/5/2020,Chile,980,10
5/6/2020,Chile,1373,5
5/7/2020,Chile,1032,6
5/8/2020,Chile,1533,4
5/9/2020,Chile,1391,9
5/10/2020,Chile,1247,10
5/11/2020,Chile,1647,8
5/12/2020,Chile,1197,11
5/13/2020,Chile,1658,12
5/14/2020,Chile,2660,11
5/15/2020,Chile,2659,12
5/16/2020,Chile,2502,36
5/17/2020,Chile,1886,27
5/18/2020,Chile,2353,29
5/19/2020,Chile,2278,28
5/20/2020,Chile,3520,31
5/21/2020,Chile,4038,35
5/22/2020,Chile,3964,45
5/23/2020,Chile,4276,41
5/24/2020,Chile,3536,43
5/25/2020,Chile,3709,45
5/26/2020,Chile,4895,43
5/27/2020,Chile,3964,45
5/28/2020,Chile,4328,35
5/29/2020,Chile,4654,49
5/30/2020,Chile,3695,54
5/31/2020,Chile,4220,53
6/1/2020,Chile,4830,57
6/2/2020,Chile,5471,59
6/3/2020,Chile,3527,75
6/4/2020,Chile,4942,87
6/5/2020,Chile,4664,81
6/6/2020,Chile,4207,92
6/7/2020,Chile,5246,93
6/8/2020,Chile,6405,649
6/9/2020,Chile,4696,74
6/10/2020,Chile,3913,19
6/11/2020,Chile,5737,192
6/12/2020,Chile,5596,173
6/13/2020,Chile,6754,222
6/14/2020,Chile,6509,231
6/15/2020,Chile,6938,222
6/16/2020,Chile,5143,39
6/17/2020,Chile,5013,21
6/18/2020,Chile,36179,232
6/19/2020,Chile,4475,226
6/20/2020,Chile,6290,252
6/21/2020,Chile,5355,202
6/22/2020,Chile,5607,184
6/23/2020,Chile,4608,23
6/24/2020,Chile,3804,3
6/25/2020,Chile,3649,226
6/26/2020,Chile,4648,172
6/27/2020,Chile,4296,165
6/28/2020,Chile,4406,279
6/29/2020,Chile,4216,162
6/30/2020,Chile,4017,66
7/1/2020,Chile,3394,113
7/2/2020,Chile,2650,65
7/3/2020,Chile,2498,167
7/4/2020,Chile,3548,131
7/5/2020,Chile,3758,141
7/6/2020,Chile,3685,116
7/7/2020,Chile,3025,76
7/8/2020,Chile,2462,50
7/9/2020,Chile,2064,139
7/10/2020,Chile,3133,109
7/11/2020,Chile,3058,99
7/12/2020,Chile,2755,100
7/13/2020,Chile,3012,98
7/14/2020,Chile,2616,45
7/15/2020,Chile,1836,45
7/16/2020,Chile,1712,117
7/17/2020,Chile,2493,104
7/18/2020,Chile,2841,1057
7/19/2020,Chile,0,0
7/20/2020,Chile,4391,156
7/21/2020,Chile,2099,130
12/31/2019,India,0,0
1/1/2020,India,0,0
1/2/2020,India,0,0
1/3/2020,India,0,0
1/4/2020,India,0,0
1/5/2020,India,0,0
1/6/2020,India,0,0
1/7/2020,India,0,0
1/8/2020,India,0,0
1/9/2020,India,0,0
1/10/2020,India,0,0
1/11/2020,India,0,0
1/12/2020,India,0,0
1/13/2020,India,0,0
1/14/2020,India,0,0
1/15/2020,India,0,0
1/16/2020,India,0,0
1/17/2020,India,0,0
1/18/2020,India,0,0
1/19/2020,India,0,0
1/20/2020,India,0,0
1/21/2020,India,0,0
1/22/2020,India,0,0
1/23/2020,India,0,0
1/24/2020,India,0,0
1/25/2020,India,0,0
1/26/2020,India,0,0
1/27/2020,India,0,0
1/28/2020,India,0,0
1/29/2020,India,0,0
1/30/2020,India,1,0
1/31/2020,India,0,0
2/1/2020,India,0,0
2/2/2020,India,1,0
2/3/2020,India,0,0
2/4/2020,India,1,0
2/5/2020,India,0,0
2/6/2020,India,0,0
2/7/2020,India,0,0
2/8/2020,India,0,0
2/9/2020,India,0,0
2/10/2020,India,0,0
2/11/2020,India,0,0
2/12/2020,India,0,0
2/13/2020,India,0,0
2/14/2020,India,0,0
2/15/2020,India,0,0
2/16/2020,India,0,0
2/17/2020,India,0,0
2/18/2020,India,0,0
2/19/2020,India,0,0
2/20/2020,India,0,0
2/21/2020,India,0,0
2/22/2020,India,0,0
2/23/2020,India,0,0
2/24/2020,India,0,0
2/25/2020,India,0,0
2/26/2020,India,0,0
2/27/2020,India,0,0
2/28/2020,India,0,0
2/29/2020,India,0,0
3/1/2020,India,0,0
3/2/2020,India,0,0
3/3/2020,India,2,0
3/4/2020,India,1,0
3/5/2020,India,22,0
3/6/2020,India,1,0
3/7/2020,India,2,0
3/8/2020,India,3,0
3/9/2020,India,0,0
3/10/2020,India,10,0
3/11/2020,India,6,0
3/12/2020,India,23,0
3/13/2020,India,2,1
3/14/2020,India,8,1
3/15/2020,India,7,0
3/16/2020,India,3,0
3/17/2020,India,32,1
3/18/2020,India,12,0
3/19/2020,India,28,0
3/20/2020,India,26,1
3/21/2020,India,40,0
3/22/2020,India,89,0
3/23/2020,India,119,3
3/24/2020,India,53,2
3/25/2020,India,70,0
3/26/2020,India,87,4
3/27/2020,India,75,4
3/28/2020,India,149,2
3/29/2020,India,106,6
3/30/2020,India,92,4
3/31/2020,India,180,3
4/1/2020,India,146,3
4/2/2020,India,568,15
4/3/2020,India,336,6
4/4/2020,India,601,12
4/5/2020,India,472,9
4/6/2020,India,693,32
4/7/2020,India,354,5
4/8/2020,India,773,35
4/9/2020,India,540,17
4/10/2020,India,678,33
4/11/2020,India,1035,40
4/12/2020,India,909,34
4/13/2020,India,796,35
4/14/2020,India,1211,31
4/15/2020,India,1075,38
4/16/2020,India,942,37
4/17/2020,India,1007,23
4/18/2020,India,991,43
4/19/2020,India,1334,27
4/20/2020,India,1553,36
4/21/2020,India,1335,47
4/22/2020,India,1384,50
4/23/2020,India,1409,41
4/24/2020,India,1684,37
4/25/2020,India,1429,57
4/26/2020,India,1990,49
4/27/2020,India,1396,48
4/28/2020,India,1543,62
4/29/2020,India,1897,73
4/30/2020,India,1718,67
5/1/2020,India,1993,73
5/2/2020,India,2293,71
5/3/2020,India,2644,83
5/4/2020,India,2553,72
5/5/2020,India,3900,195
5/6/2020,India,2958,126
5/7/2020,India,3561,89
5/8/2020,India,3390,103
5/9/2020,India,3320,95
5/10/2020,India,3277,128
5/11/2020,India,4213,97
5/12/2020,India,3604,87
5/13/2020,India,3525,122
5/14/2020,India,3722,134
5/15/2020,India,3967,100
5/16/2020,India,3970,103
5/17/2020,India,4987,120
5/18/2020,India,5242,157
5/19/2020,India,4970,134
5/20/2020,India,5611,140
5/21/2020,India,5609,132
5/22/2020,India,6088,148
5/23/2020,India,6654,137
5/24/2020,India,6767,147
5/25/2020,India,6977,154
5/26/2020,India,6535,146
5/27/2020,India,6387,170
5/28/2020,India,6566,194
5/29/2020,India,7466,175
5/30/2020,India,7964,265
5/31/2020,India,8380,193
6/1/2020,India,8392,230
6/2/2020,India,8171,204
6/3/2020,India,8909,217
6/4/2020,India,9304,260
6/5/2020,India,9851,273
6/6/2020,India,9887,294
6/7/2020,India,9971,287
6/8/2020,India,9983,206
6/9/2020,India,9987,331
6/10/2020,India,9985,279
6/11/2020,India,9996,357
6/12/2020,India,10956,396
6/13/2020,India,11458,386
6/14/2020,India,11929,311
6/15/2020,India,11502,325
6/16/2020,India,10667,380
6/17/2020,India,10974,2003
6/18/2020,India,12881,334
6/19/2020,India,13586,336
6/20/2020,India,14516,375
6/21/2020,India,15413,306
6/22/2020,India,14821,445
6/23/2020,India,14933,312
6/24/2020,India,15968,465
6/25/2020,India,16922,418
6/26/2020,India,17296,407
6/27/2020,India,18552,384
6/28/2020,India,19906,410
6/29/2020,India,19459,380
6/30/2020,India,18522,418
7/1/2020,India,18653,507
7/2/2020,India,19148,434
7/3/2020,India,20903,379
7/4/2020,India,22771,442
7/5/2020,India,24850,613
7/6/2020,India,24248,425
7/7/2020,India,22252,467
7/8/2020,India,22752,482
7/9/2020,India,24879,487
7/10/2020,India,26506,475
7/11/2020,India,27114,519
7/12/2020,India,28637,551
7/13/2020,India,28701,500
7/14/2020,India,28498,553
7/15/2020,India,29429,582
7/16/2020,India,32695,606
7/17/2020,India,34956,687
7/18/2020,India,34884,671
7/19/2020,India,38902,543
7/20/2020,India,40425,681
7/21/2020,India,37148,587
12/31/2019,Iran,0,0
1/1/2020,Iran,0,0
1/2/2020,Iran,0,0
1/3/2020,Iran,0,0
1/4/2020,Iran,0,0
1/5/2020,Iran,0,0
1/6/2020,Iran,0,0
1/7/2020,Iran,0,0
1/8/2020,Iran,0,0
1/9/2020,Iran,0,0
1/10/2020,Iran,0,0
1/11/2020,Iran,0,0
1/12/2020,Iran,0,0
1/13/2020,Iran,0,0
1/14/2020,Iran,0,0
1/15/2020,Iran,0,0
1/16/2020,Iran,0,0
1/17/2020,Iran,0,0
1/18/2020,Iran,0,0
1/19/2020,Iran,0,0
1/20/2020,Iran,0,0
1/21/2020,Iran,0,0
1/22/2020,Iran,0,0
1/23/2020,Iran,0,0
1/24/2020,Iran,0,0
1/25/2020,Iran,0,0
1/26/2020,Iran,0,0
1/27/2020,Iran,0,0
1/28/2020,Iran,0,0
1/29/2020,Iran,0,0
1/30/2020,Iran,0,0
1/31/2020,Iran,0,0
2/1/2020,Iran,0,0
2/2/2020,Iran,0,0
2/3/2020,Iran,0,0
2/4/2020,Iran,0,0
2/5/2020,Iran,0,0
2/6/2020,Iran,0,0
2/7/2020,Iran,0,0
2/8/2020,Iran,0,0
2/9/2020,Iran,0,0
2/10/2020,Iran,0,0
2/11/2020,Iran,0,0
2/12/2020,Iran,0,0
2/13/2020,Iran,0,0
2/14/2020,Iran,0,0
2/15/2020,Iran,0,0
2/16/2020,Iran,0,0
2/17/2020,Iran,0,0
2/18/2020,Iran,0,0
2/19/2020,Iran,0,0
2/20/2020,Iran,2,2
2/21/2020,Iran,3,0
2/22/2020,Iran,13,2
2/23/2020,Iran,10,1
2/24/2020,Iran,15,3
2/25/2020,Iran,18,4
2/26/2020,Iran,34,3
2/27/2020,Iran,44,4
2/28/2020,Iran,106,7
2/29/2020,Iran,143,8
3/1/2020,Iran,205,9
3/2/2020,Iran,385,11
3/3/2020,Iran,523,12
3/4/2020,Iran,835,11
3/5/2020,Iran,586,15
3/6/2020,Iran,591,15
3/7/2020,Iran,1234,17
3/8/2020,Iran,1076,21
3/9/2020,Iran,743,49
3/10/2020,Iran,595,43
3/11/2020,Iran,881,54
3/12/2020,Iran,958,63
3/13/2020,Iran,1075,75
3/14/2020,Iran,1289,85
3/15/2020,Iran,1365,97
3/16/2020,Iran,1209,113
3/17/2020,Iran,1053,129
3/18/2020,Iran,1178,135
3/19/2020,Iran,1192,147
3/20/2020,Iran,1046,149
3/21/2020,Iran,1237,149
3/22/2020,Iran,966,123
3/23/2020,Iran,1028,129
3/24/2020,Iran,1411,127
3/25/2020,Iran,1762,122
3/26/2020,Iran,2206,143
3/27/2020,Iran,2389,157
3/28/2020,Iran,2926,144
3/29/2020,Iran,3076,139
3/30/2020,Iran,2901,123
3/31/2020,Iran,3186,117
4/1/2020,Iran,3111,141
4/2/2020,Iran,2987,138
4/3/2020,Iran,2875,124
4/4/2020,Iran,0,0
4/5/2020,Iran,5275,292
4/6/2020,Iran,2483,151
4/7/2020,Iran,2274,136
4/8/2020,Iran,2089,133
4/9/2020,Iran,1997,121
4/10/2020,Iran,1634,117
4/11/2020,Iran,1972,122
4/12/2020,Iran,1837,125
4/13/2020,Iran,1657,117
4/14/2020,Iran,1617,111
4/15/2020,Iran,1574,98
4/16/2020,Iran,1512,94
4/17/2020,Iran,1606,92
4/18/2020,Iran,1499,89
4/19/2020,Iran,1374,73
4/20/2020,Iran,1343,87
4/21/2020,Iran,1294,91
4/22/2020,Iran,1297,88
4/23/2020,Iran,1194,94
4/24/2020,Iran,1030,90
4/25/2020,Iran,1168,93
4/26/2020,Iran,1134,76
4/27/2020,Iran,1153,60
4/28/2020,Iran,991,96
4/29/2020,Iran,1112,71
4/30/2020,Iran,1073,80
5/1/2020,Iran,983,71
5/2/2020,Iran,1006,63
5/3/2020,Iran,802,65
5/4/2020,Iran,976,47
5/5/2020,Iran,1223,74
5/6/2020,Iran,1323,63
5/7/2020,Iran,1680,78
5/8/2020,Iran,1485,68
5/9/2020,Iran,1556,55
5/10/2020,Iran,1529,48
5/11/2020,Iran,1383,51
5/12/2020,Iran,1683,45
5/13/2020,Iran,1481,48
5/14/2020,Iran,1958,50
5/15/2020,Iran,1808,71
5/16/2020,Iran,2102,48
5/17/2020,Iran,1757,35
5/18/2020,Iran,1806,51
5/19/2020,Iran,2294,69
5/20/2020,Iran,2111,62
5/21/2020,Iran,2346,64
5/22/2020,Iran,2392,66
5/23/2020,Iran,2311,51
5/24/2020,Iran,1869,59
5/25/2020,Iran,2180,58
5/26/2020,Iran,2023,34
5/27/2020,Iran,1787,57
5/28/2020,Iran,2080,56
5/29/2020,Iran,2258,63
5/30/2020,Iran,2819,50
5/31/2020,Iran,2282,57
6/1/2020,Iran,2516,63
6/2/2020,Iran,2979,81
6/3/2020,Iran,3117,64
6/4/2020,Iran,3134,70
6/5/2020,Iran,3574,59
6/6/2020,Iran,2886,63
6/7/2020,Iran,2269,75
6/8/2020,Iran,2364,72
6/9/2020,Iran,2043,70
6/10/2020,Iran,2095,74
6/11/2020,Iran,2011,81
6/12/2020,Iran,2238,78
6/13/2020,Iran,2369,75
6/14/2020,Iran,2410,71
6/15/2020,Iran,2472,107
6/16/2020,Iran,2449,113
6/17/2020,Iran,2563,115
6/18/2020,Iran,2612,120
6/19/2020,Iran,2596,87
6/20/2020,Iran,2615,120
6/21/2020,Iran,2322,115
6/22/2020,Iran,2368,116
6/23/2020,Iran,2573,119
6/24/2020,Iran,2445,121
6/25/2020,Iran,2531,133
6/26/2020,Iran,2595,134
6/27/2020,Iran,2628,0
6/28/2020,Iran,2456,234
6/29/2020,Iran,2489,144
6/30/2020,Iran,2536,162
7/1/2020,Iran,2457,147
7/2/2020,Iran,2549,141
7/3/2020,Iran,2652,148
7/4/2020,Iran,2566,154
7/5/2020,Iran,2449,148
7/6/2020,Iran,2560,163
7/7/2020,Iran,2613,160
7/8/2020,Iran,2637,200
7/9/2020,Iran,2691,153
7/10/2020,Iran,2079,221
7/11/2020,Iran,2262,142
7/12/2020,Iran,2397,188
7/13/2020,Iran,2186,194
7/14/2020,Iran,2349,203
7/15/2020,Iran,2521,179
7/16/2020,Iran,2388,199
7/17/2020,Iran,2500,198
7/18/2020,Iran,2379,183
7/19/2020,Iran,2166,188
7/20/2020,Iran,2182,209
7/21/2020,Iran,2414,217
12/31/2019,Mexico,0,0
1/1/2020,Mexico,0,0
1/2/2020,Mexico,0,0
1/3/2020,Mexico,0,0
1/4/2020,Mexico,0,0
1/5/2020,Mexico,0,0
1/6/2020,Mexico,0,0
1/7/2020,Mexico,0,0
1/8/2020,Mexico,0,0
1/9/2020,Mexico,0,0
1/10/2020,Mexico,0,0
1/11/2020,Mexico,0,0
1/12/2020,Mexico,0,0
1/13/2020,Mexico,0,0
1/14/2020,Mexico,0,0
1/15/2020,Mexico,0,0
1/16/2020,Mexico,0,0
1/17/2020,Mexico,0,0
1/18/2020,Mexico,0,0
1/19/2020,Mexico,0,0
1/20/2020,Mexico,0,0
1/21/2020,Mexico,0,0
1/22/2020,Mexico,0,0
1/23/2020,Mexico,0,0
1/24/2020,Mexico,0,0
1/25/2020,Mexico,0,0
1/26/2020,Mexico,0,0
1/27/2020,Mexico,0,0
1/28/2020,Mexico,0,0
1/29/2020,Mexico,0,0
1/30/2020,Mexico,0,0
1/31/2020,Mexico,0,0
2/1/2020,Mexico,0,0
2/2/2020,Mexico,0,0
2/3/2020,Mexico,0,0
2/4/2020,Mexico,0,0
2/5/2020,Mexico,0,0
2/6/2020,Mexico,0,0
2/7/2020,Mexico,0,0
2/8/2020,Mexico,0,0
2/9/2020,Mexico,0,0
2/10/2020,Mexico,0,0
2/11/2020,Mexico,0,0
2/12/2020,Mexico,0,0
2/13/2020,Mexico,0,0
2/14/2020,Mexico,0,0
2/15/2020,Mexico,0,0
2/16/2020,Mexico,0,0
2/17/2020,Mexico,0,0
2/18/2020,Mexico,0,0
2/19/2020,Mexico,0,0
2/20/2020,Mexico,0,0
2/21/2020,Mexico,0,0
2/22/2020,Mexico,0,0
2/23/2020,Mexico,0,0
2/24/2020,Mexico,0,0
2/25/2020,Mexico,0,0
2/26/2020,Mexico,0,0
2/27/2020,Mexico,0,0
2/28/2020,Mexico,0,0
2/29/2020,Mexico,2,0
3/1/2020,Mexico,2,0
3/2/2020,Mexico,1,0
3/3/2020,Mexico,0,0
3/4/2020,Mexico,0,0
3/5/2020,Mexico,0,0
3/6/2020,Mexico,0,0
3/7/2020,Mexico,0,0
3/8/2020,Mexico,0,0
3/9/2020,Mexico,2,0
3/10/2020,Mexico,0,0
3/11/2020,Mexico,0,0
3/12/2020,Mexico,4,0
3/13/2020,Mexico,5,0
3/14/2020,Mexico,10,0
3/15/2020,Mexico,15,0
3/16/2020,Mexico,12,0
3/17/2020,Mexico,29,0
3/18/2020,Mexico,11,0
3/19/2020,Mexico,25,0
3/20/2020,Mexico,46,0
3/21/2020,Mexico,39,2
3/22/2020,Mexico,48,0
3/23/2020,Mexico,65,0
3/24/2020,Mexico,51,2
3/25/2020,Mexico,38,1
3/26/2020,Mexico,70,0
3/27/2020,Mexico,110,3
3/28/2020,Mexico,132,4
3/29/2020,Mexico,131,4
