REPORT_DATE,TotalPositiveCases,TotalDeaths,Country
3/29/2020,659,21,India
4/5/2020,2395,52,India
4/12/2020,4982,196,India
4/19/2020,7356,234,India
4/26/2020,10784,317,India
5/3/2020,13484,477,India
5/10/2020,22959,808,India
5/17/2020,27988,763,India
5/24/2020,40941,995,India
5/31/2020,50275,1297,India
6/7/2020,64485,1765,India
6/14/2020,74294,2266,India
6/21/2020,89539,4059,India
6/28/2020,118398,2841,India
7/5/2020,144306,3173,India
7/12/2020,176388,3406,India
7/19/2020,228065,4142,India
7/21/2020,77573,1268,India
1/5/2020,0,0,Iran
1/12/2020,0,0,Iran
1/19/2020,0,0,Iran
1/26/2020,0,0,Iran
2/2/2020,0,0,Iran
2/9/2020,0,0,Iran
2/16/2020,0,0,Iran
2/23/2020,28,5,Iran
3/1/2020,565,38,Iran
3/8/2020,5230,102,Iran
3/15/2020,6906,466,Iran
3/22/2020,7881,945,Iran
3/29/2020,14798,961,Iran
4/5/2020,20335,935,Iran
4/12/2020,14286,905,Iran
4/19/2020,10839,674,Iran
4/26/2020,8460,619,Iran
5/3/2020,7120,506,Iran
5/10/2020,9772,433,Iran
5/17/2020,12172,348,Iran
5/24/2020,15129,422,Iran
5/31/2020,15429,375,Iran
6/7/2020,20475,475,Iran
6/14/2020,15530,521,Iran
6/21/2020,17629,777,Iran
6/28/2020,17596,857,Iran
7/5/2020,17698,1044,Iran
7/12/2020,17239,1227,Iran
7/19/2020,16489,1344,Iran
7/21/2020,4596,426,Iran
1/5/2020,0,0,Mexico
1/12/2020,0,0,Mexico
1/19/2020,0,0,Mexico
1/26/2020,0,0,Mexico
2/2/2020,0,0,Mexico
2/9/2020,0,0,Mexico
2/16/2020,0,0,Mexico
2/23/2020,0,0,Mexico
3/1/2020,4,0,Mexico
3/8/2020,1,0,Mexico
3/15/2020,36,0,Mexico
3/22/2020,210,2,Mexico
3/29/2020,597,14,Mexico
4/5/2020,1042,63,Mexico
4/12/2020,2329,194,Mexico
4/19/2020,3278,377,Mexico
4/26/2020,6345,655,Mexico
5/3/2020,8246,756,Mexico
5/10/2020,11372,1292,Mexico
5/17/2020,13684,1692,Mexico
5/24/2020,18712,2134,Mexico
5/31/2020,21656,2600,Mexico
6/7/2020,26107,3732,Mexico
6/14/2020,29071,3361,Mexico
6/21/2020,32512,3909,Mexico
6/28/2020,37600,5600,Mexico
7/5/2020,39363,3985,Mexico
7/12/2020,43103,4364,Mexico
7/19/2020,43645,4158,Mexico
7/21/2020,10483,597,Mexico
1/5/2020,0,0,Peru
1/12/2020,0,0,Peru
1/19/2020,0,0,Peru
1/26/2020,0,0,Peru
2/2/2020,0,0,Peru
2/9/2020,0,0,Peru
2/16/2020,0,0,Peru
2/23/2020,0,0,Peru
3/1/2020,0,0,Peru
3/8/2020,1,0,Peru
3/15/2020,42,0,Peru
3/22/2020,275,5,Peru
3/29/2020,353,11,Peru
4/5/2020,1075,57,Peru
4/12/2020,5102,108,Peru
4/19/2020,7572,167,Peru
4/26/2020,10911,352,Peru
5/3/2020,17203,500,Peru
5/10/2020,22481,614,Peru
5/17/2020,23526,709,Peru
5/24/2020,27213,850,Peru
5/31/2020,39917,998,Peru
6/7/2020,36087,930,Peru
6/14/2020,33374,1197,Peru
6/21/2020,26206,1363,Peru
6/28/2020,24651,1274,Peru
7/5/2020,23091,1277,Peru
7/12/2020,23630,1270,Peru
7/19/2020,26790,1316,Peru
7/21/2020,8181,386,Peru
1/5/2020,0,0,Russia
1/12/2020,0,0,Russia
1/19/2020,0,0,Russia
1/26/2020,0,0,Russia
2/2/2020,2,0,Russia
2/9/2020,0,0,Russia
2/16/2020,0,0,Russia
2/23/2020,0,0,Russia
3/1/2020,0,0,Russia
3/8/2020,8,0,Russia
3/15/2020,49,0,Russia
3/22/2020,247,0,Russia
3/29/2020,958,5,Russia
4/5/2020,3467,38,Russia
4/12/2020,8853,63,Russia
4/19/2020,23209,207,Russia
4/26/2020,37795,368,Russia
5/3/2020,49466,541,Russia
5/10/2020,74622,605,Russia
5/17/2020,73367,710,Russia
5/24/2020,63839,851,Russia
5/31/2020,60693,1167,Russia
6/7/2020,62114,1170,Russia
6/14/2020,61440,1104,Russia
6/21/2020,56823,1173,Russia
6/28/2020,50694,967,Russia
7/5/2020,46869,1058,Russia
7/12/2020,46032,1178,Russia
7/19/2020,50999,1137,Russia
7/21/2020,5940,85,Russia
1/5/2020,0,0,South Africa
1/12/2020,0,0,South Africa
1/19/2020,0,0,South Africa
1/26/2020,0,0,South Africa
2/2/2020,0,0,South Africa
2/9/2020,0,0,South Africa
2/16/2020,0,0,South Africa
2/23/2020,0,0,South Africa
3/1/2020,0,0,South Africa
3/8/2020,2,0,South Africa
3/15/2020,22,0,South Africa
3/22/2020,216,0,South Africa
3/29/2020,947,2,South Africa
4/5/2020,398,7,South Africa
4/12/2020,443,16,South Africa
4/19/2020,1006,27,South Africa
4/26/2020,1327,34,South Africa
5/3/2020,1975,37,South Africa
5/10/2020,3084,63,South Africa
5/17/2020,4935,75,South Africa
5/24/2020,6988,146,South Africa
5/31/2020,9624,236,South Africa
6/7/2020,15006,309,South Africa
6/14/2020,19763,471,South Africa
6/21/2020,26945,454,South Africa
6/28/2020,39119,536,South Africa
7/5/2020,56177,613,South Africa
7/12/2020,76207,945,South Africa
7/19/2020,86695,977,South Africa
7/21/2020,22749,225,South Africa
1/5/2020,0,0,United Kingdom
1/12/2020,0,0,United Kingdom
1/19/2020,0,0,United Kingdom
1/26/2020,0,0,United Kingdom
2/2/2020,2,0,United Kingdom
2/9/2020,2,0,United Kingdom
2/16/2020,5,0,United Kingdom
2/23/2020,0,0,United Kingdom
3/1/2020,14,0,United Kingdom
3/8/2020,183,2,United Kingdom
3/15/2020,934,26,United Kingdom
3/22/2020,3878,222,United Kingdom
3/29/2020,12071,1205,United Kingdom
4/5/2020,24814,3766,United Kingdom
4/12/2020,37088,6378,United Kingdom
4/19/2020,35226,6395,United Kingdom
4/26/2020,34160,5641,United Kingdom
5/3/2020,33883,4496,United Kingdom
5/10/2020,33000,3456,United Kingdom
5/17/2020,24901,2879,United Kingdom
5/24/2020,16993,2209,United Kingdom
5/31/2020,15672,1701,United Kingdom
6/7/2020,12042,2089,United Kingdom
6/14/2020,9507,1197,United Kingdom
6/21/2020,8735,927,United Kingdom
6/28/2020,7140,925,United Kingdom
7/5/2020,25350,684,United Kingdom
7/12/2020,4053,600,United Kingdom
7/19/2020,5113,475,United Kingdom
7/21/2020,1306,39,United Kingdom
1/5/2020,0,0,United States
1/12/2020,0,0,United States
1/19/2020,0,0,United States
1/26/2020,5,0,United States
2/2/2020,6,0,United States
2/9/2020,1,0,United States
2/16/2020,3,0,United States
2/23/2020,15,0,United States
3/1/2020,58,3,United States
3/8/2020,459,19,United States
3/15/2020,3053,46,United States
3/22/2020,29473,390,United States
3/29/2020,109476,2249,United States
4/5/2020,195592,8150,United States
4/12/2020,220108,13992,United States
4/19/2020,199348,15330,United States
4/26/2020,213322,14401,United States
5/3/2020,196245,13280,United States
5/10/2020,169505,11794,United States
5/17/2020,156915,9791,United States
5/24/2020,157709,8108,United States
5/31/2020,147742,6690,United States
6/7/2020,154103,6037,United States
6/14/2020,153318,5341,United States
6/21/2020,187958,4204,United States
6/28/2020,271023,5837,United States
7/5/2020,345345,4124,United States
7/12/2020,407565,5024,United States
7/19/2020,466573,5385,United States
7/21/2020,59966,529,United States
1/5/2020,0,0,France
1/12/2020,0,0,France
1/19/2020,0,0,France
1/26/2020,3,0,France
2/2/2020,3,0,France
2/9/2020,5,0,France
2/16/2020,0,1,France
2/23/2020,1,0,France
3/1/2020,88,1,France
3/8/2020,616,8,France
3/15/2020,3783,81,France
3/22/2020,9960,471,France
3/29/2020,23116,1752,France
4/5/2020,31030,5246,France
4/12/2020,25185,6272,France
4/19/2020,18031,5491,France
4/26/2020,12293,3291,France
5/3/2020,6865,2146,France
5/10/2020,7875,1550,France
5/17/2020,3437,1333,France
5/24/2020,2515,689,France
5/31/2020,6690,439,France
6/7/2020,2138,371,France
6/14/2020,3179,256,France
6/21/2020,3280,235,France
6/28/2020,2843,145,France
7/5/2020,4024,115,France
7/12/2020,3792,111,France
7/19/2020,3922,148,France
7/21/2020,2080,25,France
1/5/2020,0,0,Italy
1/12/2020,0,0,Italy
1/19/2020,0,0,Italy
1/26/2020,0,0,Italy
2/2/2020,3,0,Italy
2/9/2020,0,0,Italy
2/16/2020,0,0,Italy
2/23/2020,76,2,Italy
3/1/2020,1049,27,Italy
3/8/2020,4755,204,Italy
3/15/2020,15274,1208,Italy
3/22/2020,32421,3386,Italy
3/29/2020,38894,5196,Italy
4/5/2020,32160,5339,Italy
4/12/2020,27639,4108,Italy
4/19/2020,23654,3757,Italy
4/26/2020,19426,3157,Italy
5/3/2020,13977,2326,Italy
5/10/2020,8940,1685,Italy
5/17/2020,6492,1368,Italy
5/24/2020,4567,972,Italy
5/31/2020,3337,605,Italy
6/7/2020,2137,506,Italy
6/14/2020,1850,455,Italy
6/21/2020,1624,309,Italy
6/28/2020,1861,106,Italy
7/5/2020,1283,138,Italy
7/12/2020,1408,91,Italy
7/19/2020,1389,97,Italy
7/21/2020,408,16,Italy
1/5/2020,0,0,Spain
1/12/2020,0,0,Spain
1/19/2020,0,0,Spain
1/26/2020,0,0,Spain
2/2/2020,1,0,Spain
2/9/2020,0,0,Spain
2/16/2020,1,0,Spain
2/23/2020,0,0,Spain
3/1/2020,80,0,Spain
3/8/2020,1012,5,Spain
3/15/2020,8691,131,Spain
3/22/2020,26831,1190,Spain
3/29/2020,53693,4364,Spain
4/5/2020,48422,6054,Spain
4/12/2020,33190,4609,Spain
4/19/2020,21331,4100,Spain
4/26/2020,16658,2737,Spain
5/3/2020,8829,2074,Spain
5/10/2020,8638,1357,Spain
5/17/2020,3973,1029,Spain
5/24/2020,4422,1102,Spain
5/31/2020,3657,1625,Spain
6/7/2020,2121,9,Spain
6/14/2020,2378,0,Spain
6/21/2020,2344,1187,Spain
6/28/2020,2498,20,Spain
7/5/2020,1775,42,Spain
7/12/2020,3363,18,Spain
7/19/2020,6347,17,Spain
7/21/2020,4581,2,Spain
1/5/2020,59,0,World
1/12/2020,0,1,World
1/19/2020,160,2,World
1/26/2020,1806,53,World
2/2/2020,12532,249,World
2/9/2020,22935,508,World
2/16/2020,31429,856,World
2/23/2020,9271,792,World
3/1/2020,8209,514,World
3/8/2020,19777,610,World
3/15/2020,53625,2204,World
3/22/2020,165194,7427,World
3/29/2020,371708,18776,World
4/5/2020,522158,36783,World
4/12/2020,559598,46655,World
4/19/2020,531625,49188,World
4/26/2020,558692,42749,World
5/3/2020,557681,38078,World
5/10/2020,590128,34635,World
5/17/2020,606493,32375,World
5/24/2020,680844,30111,World
5/31/2020,750224,30208,World
6/7/2020,837815,30384,World
6/14/2020,894999,30301,World
6/21/2020,1043500,34062,World
6/28/2020,1170831,34238,World
7/5/2020,1353840,32020,World
7/12/2020,1451282,34217,World
7/19/2020,1575379,37184,World
7/21/2020,355468,7791,World
